PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2038,EmissionsCosts,annual,0.0,0.0
2038,FuelCostsPerPeriod,annual,24934264228.216274,57047793201.88164
2038,GenRetrofitCapitalCostAdjustment,annual,0.0,0.0
2038,GenVariableOMCostsInTP,timepoint,2510547794.620718,5743951780.57389
2038,HydrogenFixedCostAnnual,annual,0.0,0.0
2038,HydrogenVariableCost,timepoint,0.0,0.0
2038,LocalTDFixedCosts,annual,11535173743.908197,26391643253.12538
2038,StorageEnergyFixedCost,annual,4043028904.4868755,9250157724.38123
2038,TotalGenFixedCosts,annual,54910435390.27952,125631104816.20335
2038,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2038,TxFixedCosts,annual,1443197465.0740628,3301931421.89681
2048,EmissionsCosts,annual,0.0,0.0
2048,FuelCostsPerPeriod,annual,1309035805.2150047,4025001666.218577
2048,GenRetrofitCapitalCostAdjustment,annual,0.0,0.0
2048,GenVariableOMCostsInTP,timepoint,219713560.58758414,675571626.0263724
2048,HydrogenFixedCostAnnual,annual,7237054276.337805,22252374919.56118
2048,HydrogenVariableCost,timepoint,0.0,0.0
2048,LocalTDFixedCosts,annual,10159244733.011265,31237477855.83026
2048,StorageEnergyFixedCost,annual,11755584130.892311,36145875861.99957
2048,TotalGenFixedCosts,annual,73772028524.0242,226833014457.34836
2048,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2048,TxFixedCosts,annual,1560905432.9942975,4799446236.369198
