load_zone,period,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,TXPowerNet
Anhui,2038,288186.3073701386,0.0,17799.162839040004,-1.6982573350637327e-12,402878.06387660204,0.0,11855.635346557496,18449.361120533948,-410298.11552619433
Anhui,2048,0.0,0.0,17799.162839040004,90944.90613910583,2657089.296197471,729363.6109584359,14038.527833376453,19846.77293623301,-1904511.9320690352
Fujian,2038,39270.11199999997,0.0,106825.27348162563,0.0,481065.4745049934,73297.10127742642,28803.400600640573,132232.16276785437,-359119.3990084585
Fujian,2048,0.0,0.0,106825.27348162563,0.0,264194.72837062704,82870.86826678892,29157.599407938174,159791.03567313112,-53327.94959166653
Jiangsu,2038,373580.4967123051,0.0,78725.31853148165,0.0,21797.667734672155,34965.15136350766,10977.173579902954,37283.1359235519,541184.9362049133
Jiangsu,2048,0.0,0.0,78725.31853148161,8844.08105071466,23199.272577342042,200957.4923597095,13080.039451484248,222120.17915353473,990459.8206491327
Shanghai,2038,161804.3600660829,4374.826970906048,0,0.0,15347.5963880555,0.0,0,147.2901449659757,140784.8635623294
Shanghai,2048,0.0,0.0,0,36280.13094376756,17602.834035091757,0.0,0,0.0,440554.9230513076
Zhejiang,2038,161193.21413294418,0.0,100031.29515540485,0.0,243636.08302439764,43374.30218446371,34053.302424661546,204374.0329129897,68447.04308309777
Zhejiang,2048,0.0,0.0,100031.29515540476,0.0,147264.58480048526,112773.04971208503,38400.88683807118,205009.30976939862,492114.5808812062
