generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Anhui-Battery_Storage-11177,2040-06-26_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_00:00,Anhui,0,207807,523264
Anhui-Battery_Storage-11177,2050-06-12_04:00,Anhui,0,130816,0
Anhui-Battery_Storage-11177,2050-06-12_08:00,Anhui,403218,0,1.23707e+06
Anhui-Battery_Storage-11177,2050-06-12_12:00,Anhui,0,1366.01,1.23161e+06
Anhui-Battery_Storage-11177,2050-06-12_16:00,Anhui,403218,0,2.46868e+06
Anhui-Battery_Storage-11177,2050-06-12_20:00,Anhui,0,278548,1.35449e+06
Anhui-Battery_Storage-11177,2050-12-12_00:00,Anhui,0,157705,473332
Anhui-Battery_Storage-11177,2050-12-12_04:00,Anhui,0,118333,0
Anhui-Battery_Storage-11177,2050-12-12_08:00,Anhui,95518.1,0,293050
Anhui-Battery_Storage-11177,2050-12-12_12:00,Anhui,403218,0,1.53012e+06
Anhui-Battery_Storage-11177,2050-12-12_16:00,Anhui,0,0,1.53012e+06
Anhui-Battery_Storage-11177,2050-12-12_20:00,Anhui,0,106493,1.10415e+06
Anhui-Hydro_Pumped-ep-35020,2040-06-26_00:00,Anhui,0,17.1663,37.7659
Anhui-Hydro_Pumped-ep-35020,2040-06-26_04:00,Anhui,10.439,17.1663,0
Anhui-Hydro_Pumped-ep-35020,2040-06-26_08:00,Anhui,42.9158,17.1663,58.3655
Anhui-Hydro_Pumped-ep-35020,2040-06-26_12:00,Anhui,42.9158,17.1663,116.731
Anhui-Hydro_Pumped-ep-35020,2040-06-26_16:00,Anhui,42.9158,17.1663,175.097
Anhui-Hydro_Pumped-ep-35020,2040-06-26_20:00,Anhui,0,17.1663,106.431
Anhui-Hydro_Pumped-ep-35020,2040-12-19_00:00,Anhui,0,3.99589,31.9671
Anhui-Hydro_Pumped-ep-35020,2040-12-19_04:00,Anhui,0,3.99589,15.9836
Anhui-Hydro_Pumped-ep-35020,2040-12-19_08:00,Anhui,0,3.99589,0
Anhui-Hydro_Pumped-ep-35020,2040-12-19_12:00,Anhui,64.7983,25.9193,88.1256
Anhui-Hydro_Pumped-ep-35020,2040-12-19_16:00,Anhui,0,3.99589,72.1421
Anhui-Hydro_Pumped-ep-35020,2040-12-19_20:00,Anhui,0,6.04784,47.9507
Anhui-Hydro_Pumped-ep-35020,2050-06-12_00:00,Anhui,0,17.1663,68.6653
Anhui-Hydro_Pumped-ep-35020,2050-06-12_04:00,Anhui,0,17.1663,0
Anhui-Hydro_Pumped-ep-35020,2050-06-12_08:00,Anhui,75.92,30.368,103.251
Anhui-Hydro_Pumped-ep-35020,2050-06-12_12:00,Anhui,75.92,30.368,206.502
Anhui-Hydro_Pumped-ep-35020,2050-06-12_16:00,Anhui,75.92,30.368,309.754
Anhui-Hydro_Pumped-ep-35020,2050-06-12_20:00,Anhui,0,43.1058,137.331
Anhui-Hydro_Pumped-ep-35020,2050-12-12_00:00,Anhui,0,3.99589,31.9671
Anhui-Hydro_Pumped-ep-35020,2050-12-12_04:00,Anhui,0,3.99589,15.9836
Anhui-Hydro_Pumped-ep-35020,2050-12-12_08:00,Anhui,0,3.99589,0
Anhui-Hydro_Pumped-ep-35020,2050-12-12_12:00,Anhui,64.7983,25.9193,88.1256
Anhui-Hydro_Pumped-ep-35020,2050-12-12_16:00,Anhui,0,3.99589,72.1421
Anhui-Hydro_Pumped-ep-35020,2050-12-12_20:00,Anhui,0,6.04784,47.9507
Anhui-Hydro_Pumped-ep-35027,2040-06-26_00:00,Anhui,0,128.747,283.244
Anhui-Hydro_Pumped-ep-35027,2040-06-26_04:00,Anhui,78.2924,128.747,0
Anhui-Hydro_Pumped-ep-35027,2040-06-26_08:00,Anhui,321.869,128.747,437.741
Anhui-Hydro_Pumped-ep-35027,2040-06-26_12:00,Anhui,321.869,128.747,875.483
Anhui-Hydro_Pumped-ep-35027,2040-06-26_16:00,Anhui,321.869,128.747,1313.22
Anhui-Hydro_Pumped-ep-35027,2040-06-26_20:00,Anhui,0,128.747,798.234
Anhui-Hydro_Pumped-ep-35027,2040-12-19_00:00,Anhui,0,29.9692,239.754
Anhui-Hydro_Pumped-ep-35027,2040-12-19_04:00,Anhui,0,29.9692,119.877
Anhui-Hydro_Pumped-ep-35027,2040-12-19_08:00,Anhui,0,29.9692,0
Anhui-Hydro_Pumped-ep-35027,2040-12-19_12:00,Anhui,485.987,194.395,660.942
Anhui-Hydro_Pumped-ep-35027,2040-12-19_16:00,Anhui,0,29.9692,541.066
Anhui-Hydro_Pumped-ep-35027,2040-12-19_20:00,Anhui,0,45.3588,359.63
Anhui-Hydro_Pumped-ep-35027,2050-06-12_00:00,Anhui,0,128.747,1293.17
Anhui-Hydro_Pumped-ep-35027,2050-06-12_04:00,Anhui,0,323.293,0
Anhui-Hydro_Pumped-ep-35027,2050-06-12_08:00,Anhui,569.4,227.76,774.384
Anhui-Hydro_Pumped-ep-35027,2050-06-12_12:00,Anhui,569.4,227.76,1548.77
Anhui-Hydro_Pumped-ep-35027,2050-06-12_16:00,Anhui,569.4,227.76,2323.15
Anhui-Hydro_Pumped-ep-35027,2050-06-12_20:00,Anhui,0,128.747,1808.16
Anhui-Hydro_Pumped-ep-35027,2050-12-12_00:00,Anhui,0,29.9692,239.754
Anhui-Hydro_Pumped-ep-35027,2050-12-12_04:00,Anhui,0,29.9692,119.877
Anhui-Hydro_Pumped-ep-35027,2050-12-12_08:00,Anhui,0,29.9692,0
Anhui-Hydro_Pumped-ep-35027,2050-12-12_12:00,Anhui,485.987,194.395,660.942
Anhui-Hydro_Pumped-ep-35027,2050-12-12_16:00,Anhui,0,29.9692,541.066
Anhui-Hydro_Pumped-ep-35027,2050-12-12_20:00,Anhui,0,45.3588,359.63
Anhui-Hydro_Pumped-ep-35039,2040-06-26_00:00,Anhui,0,386.242,849.733
Anhui-Hydro_Pumped-ep-35039,2040-06-26_04:00,Anhui,234.877,386.242,0
Anhui-Hydro_Pumped-ep-35039,2040-06-26_08:00,Anhui,965.606,386.242,1313.22
Anhui-Hydro_Pumped-ep-35039,2040-06-26_12:00,Anhui,965.606,386.242,2626.45
Anhui-Hydro_Pumped-ep-35039,2040-06-26_16:00,Anhui,965.606,386.242,3939.67
Anhui-Hydro_Pumped-ep-35039,2040-06-26_20:00,Anhui,0,386.242,2394.7
Anhui-Hydro_Pumped-ep-35039,2040-12-19_00:00,Anhui,0,89.9076,719.261
Anhui-Hydro_Pumped-ep-35039,2040-12-19_04:00,Anhui,0,89.9076,359.63
Anhui-Hydro_Pumped-ep-35039,2040-12-19_08:00,Anhui,0,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2040-12-19_12:00,Anhui,1457.96,583.184,1982.83
Anhui-Hydro_Pumped-ep-35039,2040-12-19_16:00,Anhui,0,89.9076,1623.2
Anhui-Hydro_Pumped-ep-35039,2040-12-19_20:00,Anhui,0,136.076,1078.89
Anhui-Hydro_Pumped-ep-35039,2050-06-12_00:00,Anhui,0,386.242,3879.52
Anhui-Hydro_Pumped-ep-35039,2050-06-12_04:00,Anhui,0,969.879,0
Anhui-Hydro_Pumped-ep-35039,2050-06-12_08:00,Anhui,1708.2,683.28,2323.15
Anhui-Hydro_Pumped-ep-35039,2050-06-12_12:00,Anhui,1708.2,683.28,4646.3
Anhui-Hydro_Pumped-ep-35039,2050-06-12_16:00,Anhui,1708.2,683.28,6969.46
Anhui-Hydro_Pumped-ep-35039,2050-06-12_20:00,Anhui,0,386.242,5424.49
Anhui-Hydro_Pumped-ep-35039,2050-12-12_00:00,Anhui,0,89.9076,719.261
Anhui-Hydro_Pumped-ep-35039,2050-12-12_04:00,Anhui,0,89.9076,359.63
Anhui-Hydro_Pumped-ep-35039,2050-12-12_08:00,Anhui,0,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2050-12-12_12:00,Anhui,1457.96,583.184,1982.83
Anhui-Hydro_Pumped-ep-35039,2050-12-12_16:00,Anhui,0,89.9076,1623.2
Anhui-Hydro_Pumped-ep-35039,2050-12-12_20:00,Anhui,0,136.076,1078.89
Anhui-Hydro_Pumped-ep-35040,2040-06-26_00:00,Anhui,0,257.495,566.489
Anhui-Hydro_Pumped-ep-35040,2040-06-26_04:00,Anhui,156.585,257.495,0
Anhui-Hydro_Pumped-ep-35040,2040-06-26_08:00,Anhui,643.737,257.495,875.483
Anhui-Hydro_Pumped-ep-35040,2040-06-26_12:00,Anhui,643.737,257.495,1750.97
Anhui-Hydro_Pumped-ep-35040,2040-06-26_16:00,Anhui,643.737,257.495,2626.45
Anhui-Hydro_Pumped-ep-35040,2040-06-26_20:00,Anhui,0,257.495,1596.47
Anhui-Hydro_Pumped-ep-35040,2040-12-19_00:00,Anhui,0,59.9384,479.507
Anhui-Hydro_Pumped-ep-35040,2040-12-19_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2040-12-19_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2040-12-19_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2040-12-19_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2040-12-19_20:00,Anhui,0,90.7176,719.261
Anhui-Hydro_Pumped-ep-35040,2050-06-12_00:00,Anhui,0,257.495,2586.35
Anhui-Hydro_Pumped-ep-35040,2050-06-12_04:00,Anhui,0,646.586,0
Anhui-Hydro_Pumped-ep-35040,2050-06-12_08:00,Anhui,1138.8,455.52,1548.77
Anhui-Hydro_Pumped-ep-35040,2050-06-12_12:00,Anhui,1138.8,455.52,3097.54
Anhui-Hydro_Pumped-ep-35040,2050-06-12_16:00,Anhui,1138.8,455.52,4646.3
Anhui-Hydro_Pumped-ep-35040,2050-06-12_20:00,Anhui,0,257.495,3616.32
Anhui-Hydro_Pumped-ep-35040,2050-12-12_00:00,Anhui,0,59.9384,479.507
Anhui-Hydro_Pumped-ep-35040,2050-12-12_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2050-12-12_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2050-12-12_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2050-12-12_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2050-12-12_20:00,Anhui,0,90.7176,719.261
Fujian-Battery_Storage-11178,2040-06-26_00:00,Fujian,0,30947.6,34158.8
Fujian-Battery_Storage-11178,2040-06-26_04:00,Fujian,0,8539.7,0
Fujian-Battery_Storage-11178,2040-06-26_08:00,Fujian,43820.3,0,134441
Fujian-Battery_Storage-11178,2040-06-26_12:00,Fujian,43626.7,0,268287
Fujian-Battery_Storage-11178,2040-06-26_16:00,Fujian,0,0,268287
Fujian-Battery_Storage-11178,2040-06-26_20:00,Fujian,0,27584.6,157949
Fujian-Battery_Storage-11178,2040-12-19_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_12:00,Fujian,43820.3,0,134441
Fujian-Battery_Storage-11178,2040-12-19_16:00,Fujian,0,0,134441
Fujian-Battery_Storage-11178,2040-12-19_20:00,Fujian,0,33610.2,0
