TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Fujian-Zhejiang,2038,Fujian,Zhejiang,26,473.207,0.970596,1,101597.97108757566,101597.97108757566,1493965937.7964833
Fujian-Zhejiang,2048,Fujian,Zhejiang,26,473.207,0.970596,1,101597.97108757566,101597.97108757566,1493965937.7964833
Anhui-Zhejiang,2038,Anhui,Zhejiang,6,327.053,0.979678,1,7311.012583717637,7311.012583717637,74301942.66836132
Anhui-Zhejiang,2048,Anhui,Zhejiang,6,327.053,0.979678,1,57540.30472969138,57540.30472969138,584783075.4206632
Jiangsu-Shanghai,2038,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.0,7500.0,63078333.8702506
Jiangsu-Shanghai,2048,Jiangsu,Shanghai,81,270.654,0.983182,1,57035.38442784495,57035.38442784495,479692936.18102604
Jiangsu-Zhejiang,2038,Jiangsu,Zhejiang,82,238.01,0.985211,1,79815.54019620825,79815.54019620825,590319543.9861783
Jiangsu-Zhejiang,2048,Jiangsu,Zhejiang,82,238.01,0.985211,1,79815.54019620825,79815.54019620825,590319543.9861783
Zhejiang-Shanghai,2038,Zhejiang,Shanghai,164,165.398,0.989723,1,35387.15751617737,35387.15751617737,181878110.24421993
Zhejiang-Shanghai,2048,Zhejiang,Shanghai,164,165.398,0.989723,1,35387.15751617737,35387.15751617737,181878110.24421993
Anhui-Jiangsu,2038,Anhui,Jiangsu,3,142.72,0.991132,1,202569.6553351503,202569.6553351503,898387553.3313164
Anhui-Jiangsu,2048,Anhui,Jiangsu,3,142.72,0.991132,1,331188.5302116639,331188.5302116639,1468806632.7406268
